season,id,name,position,team,conference,usage
2024,4575192,Jordan Springs,TE,Savannah St,,"{'overall': 0.027, 'pass': 0.056, 'rush': 0, 'firstDown': 0, 'secondDown': 0, 'thirdDown': 0.091, 'standardDowns': 0, 'passingDowns': 0.056}"
2024,4575348,Da'Quan Felton,WR,Virginia Tech,ACC,"{'overall': 0.057, 'pass': 0.128, 'rush': 0.003, 'firstDown': 0.043, 'secondDown': 0.07, 'thirdDown': 0.068, 'standardDowns': 0.044, 'passingDowns': 0.085}"
2024,4575528,Francis Sherman,TE,Cincinnati,B12,"{'overall': 0.016, 'pass': 0.017, 'rush': 0.015, 'firstDown': 0, 'secondDown': 0.05, 'thirdDown': 0, 'standardDowns': 0.011, 'passingDowns': 0.029}"
2024,4575538,Tyler Crowe,FB,Boise State,MWC,"{'overall': 0.05, 'pass': 0.011, 'rush': 0.082, 'firstDown': 0.046, 'secondDown': 0.039, 'thirdDown': 0.079, 'standardDowns': 0.069, 'passingDowns': 0.006}"
2024,4575558,Josh Kelly,WR,Texas Tech,B12,"{'overall': 0.094, 'pass': 0.166, 'rush': 0.005, 'firstDown': 0.077, 'secondDown': 0.073, 'thirdDown': 0.165, 'standardDowns': 0.076, 'passingDowns': 0.131}"
2024,4575667,Deion Hankins,RB,Texas State,SBC,"{'overall': 0.084, 'pass': 0, 'rush': 0.15, 'firstDown': 0.069, 'secondDown': 0.082, 'thirdDown': 0.085, 'standardDowns': 0.106, 'passingDowns': 0.029}"
2024,4575758,Charles Norman,RB,UL Monroe,SBC,"{'overall': 0.048, 'pass': 0, 'rush': 0.065, 'firstDown': 0.042, 'secondDown': 0, 'thirdDown': 0.071, 'standardDowns': 0.071, 'passingDowns': 0}"
2024,4575831,Taron Keith,RB,South Florida,AAC,"{'overall': 0.098, 'pass': 0.028, 'rush': 0.17, 'firstDown': 0.11, 'secondDown': 0.109, 'thirdDown': 0.066, 'standardDowns': 0.112, 'passingDowns': 0.07}"
2024,4575856,James Della Pesca,TE,Temple,AAC,"{'overall': 0.03, 'pass': 0.054, 'rush': 0, 'firstDown': 0.019, 'secondDown': 0.025, 'thirdDown': 0.053, 'standardDowns': 0.019, 'passingDowns': 0.049}"
2024,4575862,Trebor Pena,WR,Syracuse,ACC,"{'overall': 0.106, 'pass': 0.149, 'rush': 0.035, 'firstDown': 0.105, 'secondDown': 0.099, 'thirdDown': 0.132, 'standardDowns': 0.096, 'passingDowns': 0.127}"
2024,4575936,Airius Trice,WR,UT Martin,,"{'overall': 0.024, 'pass': 0.064, 'rush': 0, 'firstDown': 0.018, 'secondDown': 0.026, 'thirdDown': 0.037, 'standardDowns': 0.026, 'passingDowns': 0.02}"
2024,4576127,Haden Carlson,QB,Florida International,CUSA,"{'overall': 0.098, 'pass': 0.2, 'rush': 0, 'firstDown': 0.074, 'secondDown': 0.158, 'thirdDown': 0.077, 'standardDowns': 0.054, 'passingDowns': 0.167}"
2024,4576135,Zoe Roberts,WR,UT Martin,,"{'overall': 0.024, 'pass': 0.052, 'rush': 0, 'firstDown': 0.026, 'secondDown': 0.025, 'thirdDown': 0.02, 'standardDowns': 0.021, 'passingDowns': 0.03}"
2024,4576150,Shamar Sandgren,WR,South Alabama,SBC,"{'overall': 0.033, 'pass': 0.07, 'rush': 0, 'firstDown': 0.043, 'secondDown': 0.037, 'thirdDown': 0, 'standardDowns': 0.036, 'passingDowns': 0.025}"
2024,4576152,Quincy Vaughn,QB,North Dakota,,"{'overall': 0.027, 'pass': 0.031, 'rush': 0.024, 'firstDown': 0.009, 'secondDown': 0.024, 'thirdDown': 0.032, 'standardDowns': 0.027, 'passingDowns': 0.029}"
2024,4576183,Kevin Davis,RB,Miami (OH),MAC,"{'overall': 0.098, 'pass': 0.077, 'rush': 0.123, 'firstDown': 0.105, 'secondDown': 0.077, 'thirdDown': 0.122, 'standardDowns': 0.104, 'passingDowns': 0.085}"
2024,4576186,Trevor Borland,TE,Western Kentucky,CUSA,"{'overall': 0.016, 'pass': 0.032, 'rush': 0, 'firstDown': 0, 'secondDown': 0, 'thirdDown': 0.105, 'standardDowns': 0.019, 'passingDowns': 0}"
2024,4576189,Aveon Smith,QB,Alabama A&M,,"{'overall': 0.107, 'pass': 0.151, 'rush': 0.067, 'firstDown': 0.081, 'secondDown': 0.122, 'thirdDown': 0.114, 'standardDowns': 0.087, 'passingDowns': 0.15}"
2024,4576218,Sevion Morrison,RB,Kansas,B12,"{'overall': 0.067, 'pass': 0.006, 'rush': 0.104, 'firstDown': 0.082, 'secondDown': 0.057, 'thirdDown': 0.053, 'standardDowns': 0.075, 'passingDowns': 0.043}"
2024,4576226,Hunter Brown,TE,Eastern Kentucky,,"{'overall': 0.024, 'pass': 0.053, 'rush': 0, 'firstDown': 0.006, 'secondDown': 0.016, 'thirdDown': 0.076, 'standardDowns': 0.011, 'passingDowns': 0.052}"
2024,4576273,Will Downes,WR,Marist,,"{'overall': 0.058, 'pass': 0.096, 'rush': 0, 'firstDown': 0.059, 'secondDown': 0.052, 'thirdDown': 0.078, 'standardDowns': 0.056, 'passingDowns': 0.061}"
2024,4576294,Harrison Waylee,RB,Wyoming,MWC,"{'overall': 0.236, 'pass': 0.016, 'rush': 0.425, 'firstDown': 0.248, 'secondDown': 0.318, 'thirdDown': 0.107, 'standardDowns': 0.275, 'passingDowns': 0.146}"
2024,4576298,Keegan Wilburn,WR,Bryant,,"{'overall': 0.016, 'pass': 0.026, 'rush': 0, 'firstDown': 0.037, 'secondDown': 0, 'thirdDown': 0, 'standardDowns': 0.024, 'passingDowns': 0}"
2024,4576318,Marcus Carroll,RB,Missouri,SEC,"{'overall': 0.16, 'pass': 0.021, 'rush': 0.279, 'firstDown': 0.174, 'secondDown': 0.159, 'thirdDown': 0.125, 'standardDowns': 0.202, 'passingDowns': 0.06}"
2024,4576788,Andre Johnson,WR,Miami (OH),MAC,"{'overall': 0.02, 'pass': 0.034, 'rush': 0, 'firstDown': 0.013, 'secondDown': 0.017, 'thirdDown': 0.043, 'standardDowns': 0.018, 'passingDowns': 0.026}"
2024,4576799,Sebastian Macaluso,WR,San José State,MWC,"{'overall': 0.031, 'pass': 0.046, 'rush': 0, 'firstDown': 0.031, 'secondDown': 0.038, 'thirdDown': 0.022, 'standardDowns': 0.029, 'passingDowns': 0.036}"
